t,E,current1_mA,coll_current,potential2,current1,current1_muA,cur1muA_filt,coll_cur_filt,coll_cur_norm,coll_cur_norm_filt,cur_H2O2,cur_H2O2_min,cur_H2O2_max,yield,yield_min,yield_max,j,current1_mA_geo,cur_H2O2_uAcm,cur_H2O2_min_uAcm,cur_H2O2_max_uAcm
2408.024,-0.2511062105263223,-0.8468168421052626,3.4142835263157707,,-0.0008468168421052,-846.8168421052627,-846.672,3.4142835263157707,3.477215,3.477215,-49.6745,-80.15139901003309,-35.989712771335526,11.081980977830211,17.293235184324704,8.153476562340725,-2200.409572481986,-2.200409572481986,-129.07660768356502,-208.26924650085903,-93.51739898800923
2408.074,-0.2490186153846296,-0.8470491538461554,3.4214596153846246,,-0.0008470491538461,-847.0491538461556,-846.672,3.4214596153846246,3.477215,3.477215,-49.6745,-80.15139901003309,-35.989712771335526,11.079109999371624,17.288902333617305,8.151331528406054,-2201.0132224722124,-2.2010132224722123,-129.07660768356502,-208.26924650085903,-93.51739898800923
2408.124,-0.2515570769230633,-0.8473254358974344,3.4231147435897347,,-0.0008473254358974,-847.3254358974344,-846.672,3.4231147435897347,3.477215,3.477215,-49.6745,-80.15139901003309,-35.989712771335526,11.075697558506832,17.28375221749439,8.148781966566528,-2201.7311270297405,-2.2017311270297406,-129.07660768356502,-208.26924650085903,-93.51739898800923
2408.174,-0.2514688947368513,-0.8465587368421121,3.4289176315789085,,-0.0008465587368421,-846.5587368421121,-846.0692631578993,3.4289176315789085,3.477215,3.477215,-49.6745,-80.15139901003309,-35.989712771335526,11.085172465825671,17.29805165804749,8.155861083229789,-2199.738899364133,-2.1997388993641334,-129.07660768356502,-208.26924650085903,-93.51739898800923
2408.224,-0.249474532467531,-0.8450024675324682,3.43772879220779,,-0.0008450024675324,-845.0024675324684,-845.0024675324684,3.437617,3.477215,3.477215,-49.6745,-80.15139901003309,-35.989712771335526,11.10445485972506,17.32714998199728,8.170268380571715,-2195.695014410468,-2.195695014410468,-129.07660768356502,-208.26924650085903,-93.51739898800923
2408.274,-0.2512628441558383,-0.8441641558441587,3.440523597402588,,-0.0008441641558441,-844.1641558441588,-844.1641558441588,3.437617,3.477215,3.477215,-49.6745,-80.15139901003309,-35.989712771335526,11.114869484602098,17.342864909955296,8.178050237499566,-2193.5167050382856,-2.1935167050382858,-129.07660768356502,-208.26924650085903,-93.51739898800923
2408.324,-0.2512628441558435,-0.8434375324675323,3.4424797662337667,,-0.0008434375324675,-843.4375324675322,-843.4375324675322,3.4387348571428578,3.477215,3.477215,-49.6745,-80.15139901003309,-35.989712771335526,11.123912385942656,17.356509217105106,8.184807320032503,-2191.628611941857,-2.191628611941857,-129.07660768356502,-208.26924650085903,-93.51739898800923
2408.374,-0.2494745324675468,-0.8428225974026022,3.44359729870129,,-0.0008428225974026,-842.8225974026022,-842.8225974026022,3.440970571428553,3.477215,3.477215,-49.6745,-80.15139901003309,-35.989712771335526,11.1315768184716,17.36807305981775,8.190534509971146,-2190.030735121218,-2.1900307351212183,-129.07660768356502,-208.26924650085903,-93.51739898800923
2408.424,-0.2497288947368405,-0.8427436842105266,3.4387491578947613,,-0.0008427436842105,-842.7436842105266,-842.7436842105266,3.4416037894736813,3.475537727272726,3.475537727272726,-49.65053896103893,-80.11273710514301,-35.972352739328926,11.127489997544163,17.361907064791367,8.187480648286318,-2189.825683291112,-2.189825683291112,-129.01434616858916,-208.1687855494696,-93.4722898466854
2408.474,-0.2503618571428571,-0.8424659999999999,3.437370714285714,,-0.000842466,-842.4660000000001,-842.4660000000001,3.442412714285714,3.474632,3.474632,-49.6376,-80.09185967650241,-35.962978322045394,11.128214256729825,17.362999802437724,8.188021845713935,-2189.1041352956204,-2.1891041352956204,-128.9807249505023,-208.11453663571936,-93.44793091037064
2408.524,-0.2513683506493481,-0.8419069090909105,3.4407246103896023,,-0.0008419069090909,-841.9069090909106,-841.9069090909106,3.443530246753244,3.474632,3.474632,-49.6376,-80.09185967650241,-35.962978322045394,11.135192801672778,17.373528553313438,8.193236569037975,-2187.651366612856,-2.187651366612856,-128.9807249505023,-208.11453663571936,-93.44793091037064
2408.574,-0.248614460526312,-0.8406283026315774,3.4481960526315887,,-0.0008406283026315,-840.6283026315774,-840.6283026315774,3.4477198289473736,3.4735903421052567,3.4735903421052567,-49.62271917293224,-80.06784898474089,-35.952197001811314,11.148028580152284,17.392893158981632,8.202828380701497,-2184.3289741512704,-2.18432897415127,-128.94205789441855,-208.05214610052096,-93.4199162098268
2408.624,-0.2476251428571285,-0.839786,3.4524746363636463,,-0.000839786,-839.7860000000003,-839.7860000000003,3.4511663636363545,3.472469461538461,3.472469461538461,-49.606706593406585,-80.04201217408874,-35.94059571467492,11.155186280627936,17.403690932373948,8.20817727600108,-2182.1402945203345,-2.1821402945203343,-128.90045003836696,-207.98501049025128,-93.38977086788417
2408.674,-0.250196571428559,-0.839786,3.450797363636372,,-0.000839786,-839.7860000000003,-839.7860000000003,3.452843636363629,3.471365615384612,3.471365615384612,-49.5909373626373,-80.01656801446015,-35.92917073634576,11.151837939421837,17.398639837935786,8.205675072668818,-2182.1402945203345,-2.1821402945203343,-128.85947451141692,-207.91889516326825,-93.360083655218
2408.724,-0.250608,-0.8388936363636355,3.4594504545454634,,-0.0008388936363636,-838.8936363636356,-838.8936363636356,3.459215636363642,3.4707193636363614,3.4707193636363614,-49.581705194805146,-80.0016716155504,-35.92248193085128,11.161076256283213,17.412575931307842,8.2125788904952,-2179.8215339691037,-2.179821533969103,-128.83548520291177,-207.88018764456208,-93.34270314162085
2408.774,-0.2505736000000002,-0.8379090000000015,3.467573599999996,,-0.000837909,-837.9090000000015,-837.9090000000015,3.4648185999999965,3.470328,3.470328,-49.57611428571428,-79.99265050440945,-35.91843125671644,11.17226948096254,17.429459999434883,8.220943855026249,-2177.263007529587,-2.177263007529587,-128.8209575160842,-207.85674675590468,-93.332177675312
2408.824,-0.2504589333333329,-0.8371056666666633,3.4698689333333435,,-0.0008371056666666,-837.1056666666632,-837.1056666666632,3.4665406000000067,3.470328,3.470328,-49.57611428571428,-79.99265050440945,-35.91843125671644,11.18239155257368,17.444727355112537,8.228508546821072,-2175.1755875956883,-2.1751755875956884,-128.8209575160842,-207.85674675590468,-93.332177675312
2408.874,-0.249273402597407,-0.836945,3.467197610389622,,-0.000836945,-836.945,-836.945,3.4686735714285644,3.470328,3.470328,-49.57611428571428,-79.99265050440945,-35.91843125671644,11.184418168237002,17.44778403644028,8.230023156085805,-2174.7581036089205,-2.1747581036089203,-128.8209575160842,-207.85674675590468,-93.332177675312
2408.924,-0.2484629605263141,-0.8366357368421073,3.4669524605262985,,-0.0008366357368421,-836.6357368421072,-836.6357368421072,3.471358763157888,3.470328,3.470328,-49.57611428571428,-79.99265050440945,-35.91843125671644,11.18832121746558,17.45367078058199,8.232940158884986,-2173.9544993592085,-2.1739544993592084,-128.8209575160842,-207.85674675590468,-93.332177675312
2408.974,-0.2494820394736859,-0.8354462631578928,3.477146539473701,,-0.0008354462631578,-835.4462631578931,-835.4462631578931,3.475323236842112,3.470328,3.470328,-49.57611428571428,-79.99265050440945,-35.91843125671644,11.203358366805412,17.47634917209081,8.244178697381528,-2170.8637137833653,-2.170863713783365,-128.8209575160842,-207.85674675590468,-93.332177675312
2409.024,-0.2481752207792243,-0.8347232727272738,3.481451909090905,,-0.0008347232727272,-834.7232727272739,-834.7232727272739,3.4771814545454527,3.4731453506493466,3.4731453506493466,-49.61636215213353,-80.05759172778707,-35.94759127145414,11.22111012448276,17.50311901757537,8.257446701812835,-2168.985060708407,-2.168985060708408,-128.92553950611727,-208.02549315118603,-93.40794845875917
2409.074,-0.2467889870129929,-0.834264831168831,3.482346584415568,,-0.0008342648311688,-834.264831168831,-834.264831168831,3.478076,3.476354,3.476354,-49.6622,-80.13155256552287,-35.98080128823881,11.236719378143889,17.526655614771613,8.269113902163431,-2167.7938241346124,-2.167793824134612,-129.0446467725441,-208.21767654581248,-93.49424296212968
2409.124,-0.2483539220779149,-0.8342089870129873,3.4778745064935275,,-0.0008342089870129,-834.2089870129872,-834.2089870129872,3.478076,3.476354,3.476354,-49.6622,-80.13155256552287,-35.98080128823881,11.237429329002504,17.52772607073983,8.269644569946081,-2167.648715996729,-2.1676487159967293,-129.0446467725441,-208.21767654581248,-93.49424296212968
2409.174,-0.2488122857142857,-0.8338209999999999,3.4770920000000003,,-0.000833821,-833.821,-833.821,3.478076,3.476354,3.476354,-49.6622,-80.13155256552287,-35.98080128823881,11.242364314341236,17.535166861909516,8.27333335823142,-2166.640551899221,-2.166640551899221,-129.0446467725441,-208.21767654581248,-93.49424296212968
2409.224,-0.2485418461538381,-0.8332562307692275,3.4780097692307663,,-0.0008332562307692,-833.2562307692275,-833.2562307692275,3.4780097692307663,3.4758844415584185,3.4758844415584185,-49.65549202226312,-80.1207290282927,-35.97594128578228,11.248121582363408,17.543847185734588,8.277636848329983,-2165.173028392549,-2.165173028392549,-129.02721644087103,-208.18955214659744,-93.48161449822118
2409.274,-0.2471072307692385,-0.8326498205128238,3.477457846153849,,-0.0008326498205128,-832.6498205128238,-832.6498205128238,3.477457846153849,3.4719714545454643,3.4719714545454643,-49.59959220779234,-80.03053288471334,-35.93544126531355,11.243893505089623,17.537472475832807,8.274476403559456,-2163.5973028440058,-2.1635973028440056,-128.88196367693726,-207.9551821531529,-93.37637729898982
2409.324,-0.2464760000000001,-0.8320657894736866,3.4775322105263133,,-0.0008320657894736,-832.0657894736867,-832.0657894736867,3.477215,3.4693427631578952,3.4693427631578952,-49.562039473684216,-79.96994034376337,-35.90823390309894,11.24330195721234,17.536580581063394,8.274034230517808,-2162.0797285289404,-2.1620797285289406,-128.7843848482038,-207.79773558324777,-93.30568038168455
2409.374,-0.2464624210526349,-0.8314993421052687,3.478030684210537,,-0.0008314993421052,-831.4993421052685,-831.4993421052685,3.477215,3.467712454545458,3.467712454545458,-49.5387493506494,-79.93236098323923,-35.8913599569408,11.24554087526147,17.539956249574768,8.275707791566036,-2160.6078444687746,-2.160607844468774,-128.72386667340854,-207.70008756715555,-93.26183430918606
2409.424,-0.2461229473684212,-0.8309328947368424,3.4768977894736848,,-0.0008309328947368,-830.9328947368424,-830.9328947368424,3.477215,3.467153363636363,3.467153363636363,-49.53076233766232,-79.91947368160912,-35.88557327960524,11.251063445875095,17.54828256534622,8.279835883451508,-2159.1359604085883,-2.159135960408588,-128.70311283508312,-207.66660058335884,-93.2467979287447
2409.474,-0.2457273506493487,-0.8301085844155799,3.47664472727273,,-0.0008301085844155,-830.1085844155798,-830.1085844155798,3.477215,3.466590447368418,3.466590447368418,-49.52272067669168,-79.90649820370474,-35.879747009214235,11.259881359383144,17.561576666116547,8.286427358710934,-2156.994032861313,-2.156994032861313,-128.68221699681132,-207.63288447809416,-93.23165866780565
2409.524,-0.2452799480519498,-0.829046246753251,3.4772038181818163,,-0.0008290462467532,-829.046246753251,-829.046246753251,3.477215,3.466024,3.466024,-49.51462857142857,-79.8934413323165,-35.873884191387475,11.271758158620484,17.579481318631856,8.295305637575384,-2154.2336036336837,-2.154233603633683,-128.66119008166612,-207.59895687609003,-93.21642444025336
2409.574,-0.2464921315789465,-0.829025,3.477215,,-0.000829025,-829.025,-829.025,3.477215,3.464347376623376,3.464347376623376,-49.49067680890536,-79.85479439525642,-35.8565308802605,11.266885296497804,17.572135476592837,8.291662985048687,-2154.1783950491194,-2.15417839504912,-128.59895267103215,-207.49853481782924,-93.17133276278612
2409.624,-0.2465992597402658,-0.8287681168831197,3.47747218181818,,-0.0008287681168831,-828.7681168831198,-828.7681168831198,3.477215,3.462413272727284,3.462413272727284,-49.46304675324691,-79.81021241424504,-35.83651260595469,11.26424312898265,17.56815231901141,8.289687883612599,-2153.510897614861,-2.153510897614861,-128.52715740677178,-207.3826908561837,-93.1193163169422
2409.674,-0.2453693896103876,-0.8282096753246744,3.4780312727272737,,-0.0008282096753246,-828.2096753246742,-828.2096753246742,3.477215,3.4601769090909054,3.4601769090909054,-49.43109870129864,-79.75866320772461,-35.81336589661244,11.26454015452016,17.5686000982464,8.28990991860371,-2152.05981623601,-2.1520598162360107,-128.44414205347016,-207.24874292099688,-93.0591707951768
2409.724,-0.2462085526315843,-0.8271227368420992,3.4843283684210884,,-0.000827122736842,-827.1227368420994,-827.1747894736786,3.477215,3.4454093421051795,3.4454093421051795,-49.22013345864541,-79.41826402220394,-35.660519295482594,11.23307671613828,17.521163178827198,8.26639113399671,-2149.235463054973,-2.1492354630549726,-127.89595982997884,-206.36423332099577,-92.66200684244848
2409.774,-0.2467306493506497,-0.8264653376623377,3.4848283376623512,,-0.0008264653376623,-826.4653376623377,-826.5066623376625,3.4765440909090937,3.4341291025641034,3.4341291025641034,-49.05898717948719,-79.15824933217598,-35.54376707248942,11.206767370706771,17.481490206075108,8.246726601205324,-2147.5272454379337,-2.1475272454379337,-127.47722959505808,-205.68859865659647,-92.35863225622268
2409.824,-0.2465072727272729,-0.8265211818181818,3.475884181818189,,-0.0008265211818181,-826.5211818181817,-826.4508181818182,3.47486681818182,3.4297143589743424,3.4297143589743424,-48.99591941391918,-79.0564874695963,-35.498073793887265,11.192452858994534,17.459902148817992,8.236028038302269,-2147.6723535758174,-2.147672353575817,-127.31335128256978,-205.4241757431631,-92.23990064551886
2409.874,-0.2453222597402653,-0.8260481818181842,3.4736709220779267,,-0.0008260481818181,-826.0481818181842,-826.0102077922099,3.474632,3.4172698181818064,3.4172698181818064,-48.8181402597401,-78.76963510223935,-35.3692708729593,11.16013704671829,17.411159159162963,8.211877008635613,-2146.443287647947,-2.146443287647947,-126.85140138597716,-204.67880476842885,-91.90521294673746
2409.924,-0.2446998947368434,-0.8254867368421045,3.472548473684209,,-0.0008254867368421,-825.4867368421045,-825.4867368421045,3.4742696842105247,3.407488,3.407488,-48.6784,-78.54415971111928,-35.268027542666346,11.137117679126227,17.376432599943794,8.194674953178877,-2144.9844020444007,-2.144984402044401,-126.48829358048197,-204.0929186779417,-91.64213741251363
2409.974,-0.245605815789478,-0.8249202894736815,3.471415578947364,,-0.0008249202894736,-824.9202894736815,-824.9202894736815,3.473137447368416,3.407488,3.407488,-48.6784,-78.54415971111928,-35.268027542666346,11.144339062442358,17.387327145410087,8.200071273926888,-2143.5125179842225,-2.1435125179842225,-126.48829358048197,-204.0929186779417,-91.64213741251363
2410.024,-0.2432270000000015,-0.8239244358974365,3.477369512820509,,-0.0008239244358974,-823.9244358974364,-824.0126410256413,3.4720279230769235,3.4049717179487167,3.4049717179487167,-48.642453113553096,-78.48615825687669,-35.241983634458954,11.149277774838982,17.394777668901227,8.203761886704102,-2140.924844200465,-2.140924844200465,-126.39488746347315,-203.94220491224007,-91.57446367000529
2410.074,-0.2414925584415663,-0.8231128051948056,3.481228584415562,,-0.0008231128051948,-823.1128051948056,-823.2311948051946,3.4710548181818166,3.4023230000000004,3.4023230000000004,-48.60461428571429,-78.42510409451613,-35.21456899424068,11.151461058258786,17.398071292717635,8.205393432199841,-2138.815863983504,-2.138815863983504,-126.29656523504298,-203.78355884308056,-91.50322815157548
2410.124,-0.2443990519480354,-0.823224493506493,3.472843519480567,,-0.0008232244935064,-823.2244935064929,-823.1195064935073,3.4704957272727297,3.4023230000000004,3.4023230000000004,-48.60461428571429,-78.42510409451613,-35.21456899424068,11.150032466522964,17.395916174793257,8.204325858997263,-2139.1060802592697,-2.13910608025927,-126.29656523504298,-203.78355884308056,-91.50322815157548
2410.174,-0.2443195526315832,-0.822861486842107,3.4691389210526364,,-0.0008228614868421,-822.861486842107,-822.7686973684224,3.470328,3.4057437532467536,3.4057437532467536,-48.65348218923934,-78.50395402424304,-35.249974319137834,11.165265983512764,17.418895925006563,8.2157099431898,-2138.1628262998847,-2.138162826299885,-126.4235459436887,-203.98844628925997,-91.59522704903112
2410.224,-0.243164792207792,-0.8222159480519472,3.467746,,-0.0008222159480519,-822.2159480519472,-822.2159480519472,3.470328,3.4101482727272736,3.4101482727272736,-48.71640389610391,-78.60548021641998,-35.29556177662886,11.187184351835796,17.451956125759995,8.232090501895362,-2136.485427289085,-2.136485427289085,-126.5870447302238,-204.2522568253948,-91.713683689075
2410.274,-0.2429414155844159,-0.8212101038961055,3.467746,,-0.0008212101038961,-821.2101038961057,-821.2101038961057,3.470328,3.410707363636363,3.410707363636363,-48.7243909090909,-78.61836751804998,-35.301348453964366,11.20185282916082,17.47407867512675,8.243053459963813,-2133.871793503252,-2.133871793503252,-126.607798568549,-204.2857438091912,-91.7287200695162
2410.324,-0.2435856315789506,-0.8208117894736842,3.473182631578972,,-0.0008208117894736,-820.811789473684,-820.811789473684,3.470328,3.410591131578945,3.410591131578945,-48.722730451127774,-78.61568831586897,-35.3001454342025,11.206623620955453,17.481273422750235,8.246619161547052,-2132.8367941688325,-2.1328367941688327,-126.6034839547918,-204.27878204150707,-91.72559408516128
2410.374,-0.2445417922077933,-0.8207016103896121,3.4805238181818217,,-0.0008207016103896,-820.7016103896121,-820.7016103896121,3.4707975584415465,3.41024656410256,3.41024656410256,-48.717808058608,-78.60774587765745,-35.29657910755733,11.206974913342007,17.481803192603653,8.246881720226826,-2132.550499542622,-2.132550499542622,-126.59069337354512,-204.2581440284203,-91.71632717064276
2410.424,-0.2442067272727281,-0.8201983636363649,3.4794056363636385,,-0.0008201983636363,-820.198363636365,-820.198363636365,3.474710545454536,3.41245361538462,3.41245361538462,-48.74933736263743,-78.65861942097992,-35.319422429501174,11.220315631560288,17.501920973775576,8.25685286846437,-2131.2428389977367,-2.131242838997737,-126.67262063213336,-204.3903362878876,-91.77568435601424
