t,E,current1_mA,coll_current,potential2,current1,current1_muA,cur1muA_filt,coll_cur_filt,coll_cur_norm,coll_cur_norm_filt,cur_H2O2,cur_H2O2_min,cur_H2O2_max,yield,yield_min,yield_max,j,current1_mA_geo,cur_H2O2_uAcm,cur_H2O2_min_uAcm,cur_H2O2_max_uAcm
3091.825999999989,-0.097548700000046,-1.2154118750003229,3.080878324999193,,-0.0012154118750003,-1215.4118750003229,-1215.4118750003229,3.080878324999193,3.080878324999193,3.080878324999193,-44.01254749998847,-57.053302314799865,-35.824166569758056,6.989311420944372,8.967365603698681,5.726204389829602,-3158.1846171247385,-3.1581846171247383,-114.36431824800012,-148.25004217333347,-93.0872357832559
3091.875999999989,-0.0973573500000236,-1.2140002250002369,3.084407799999408,,-0.0012140002250002,-1214.000225000237,-1214.000225000237,3.084407799999408,3.084407799999408,3.084407799999408,-44.062968571420114,-57.118662962952,-35.865206976737305,7.004889547133924,8.987147229709977,5.739050950470329,-3154.516517934055,-3.1545165179340557,-114.49533478276476,-148.4198784221025,-93.19387714876204
3091.925999999989,-0.0972498500000237,-1.212923975000238,3.0870977999994054,,-0.0012129239750002,-1212.923975000238,-1212.923975000238,3.0870977999994054,3.0870977999994054,3.0870977999994054,-44.10139714284865,-57.16847777776676,-35.89648604650471,7.016787110296866,9.002254544970365,5.748862573314472,-3151.719938219729,-3.151719938219729,-114.59518942927598,-148.54931963054293,-93.27515418662
3091.975999999989,-0.0978676543207572,-1.2116255679015455,3.095038358022272,,-0.0012116255679015,-1211.6255679015458,-1211.6255679015458,3.093391148146305,3.093391148146305,3.093391148146305,-44.19130211637577,-57.2850212619686,-35.96966451332912,7.037857695882861,9.029008308573069,5.766239494792777,-3148.346094825403,-3.1483460948254027,-114.82880283246598,-148.85215181986334,-93.46530463107698
3092.025999999989,-0.098929999999768,-1.210191000000313,3.1061969999975645,,-0.0012101910000003,-1210.1910000003131,-1210.1910000003131,3.101892999998144,3.101892999998144,3.101892999998144,-44.31275714283063,-57.44246296292859,-36.06852325579237,7.064587394101263,9.06294518742825,5.788284475701505,-3144.618444659164,-3.144618444659164,-115.14439740917858,-149.26125590078706,-93.7221839377035
3092.075999999989,-0.0986114814815503,-1.2092879135804422,3.103540209877118,,-0.0012092879135804,-1209.2879135804424,-1209.2879135804424,3.1024244814813664,3.1024244814813664,3.1024244814813664,-44.32034973544809,-57.45230521261789,-36.07470327303914,7.070845180649552,9.070889888908392,5.793445665517897,-3142.271821512036,-3.142271821512036,-115.16412636666352,-149.28683047530455,-93.73824239147032
3092.125999999989,-0.0979233250002871,-1.208134962500347,3.102097487499881,,-0.0012081349625003,-1208.134962500347,-1208.134962500347,3.1035717124995217,3.1035717124995217,3.1035717124995217,-44.33673874999316,-57.473550231472615,-36.088043168599086,7.079878723923562,9.082358352254726,5.800896303021925,-3139.2759380256634,-3.1392759380256634,-115.20671236955744,-149.34203455313002,-93.77290541708165
3092.175999999989,-0.0966320750002812,-1.20657433750034,3.102635612499882,,-0.0012065743375003,-1206.57433750034,-1206.57433750034,3.1057235874995315,3.1057235874995315,3.1057235874995315,-44.367479821421874,-57.51339976850984,-36.11306497092478,7.093452182518231,9.099589858022288,5.812091584594596,-3135.220735036865,-3.135220735036865,-115.28659144668106,-149.44558150495695,-93.83792327055434
3092.225999999989,-0.0958444125001377,-1.2049722750003442,3.1048521999994265,,-0.0012049722750003,-1204.972275000344,-1204.972275000344,3.106616737499885,3.106616737499885,3.106616737499885,-44.380239107141215,-57.529939583331206,-36.123450436045175,7.104518317449522,9.113637808913053,5.821219055982742,-3131.057858857004,-3.1310578588570035,-115.319745787784,-149.4885593545348,-93.86490936214976
3092.275999999989,-0.0952956500000235,-1.2034165750002823,3.1070580000000003,,-0.0012034165750002,-1203.4165750002826,-1203.4165750002826,3.1070580000000003,3.1070580000000003,3.1070580000000003,-44.38654285714286,-57.53811111111111,-36.12858139534884,7.114350368567438,9.126118764592649,5.829328799993714,-3127.015453224712,-3.127015453224712,-115.33612575468646,-149.50979264496394,-93.87824189334944
3092.325999999989,-0.0951881500000235,-1.202125325000284,3.1070580000000003,,-0.0012021253250002,-1202.1253250002842,-1202.1253250002842,3.1070580000000003,3.1070580000000003,3.1070580000000003,-44.38654285714286,-57.53811111111111,-36.12858139534884,7.121720057657675,9.135473724431082,5.835407618541433,-3123.660207179534,-3.123660207179534,-115.33612575468646,-149.50979264496394,-93.87824189334944
3092.375999999989,-0.0958826790120585,-1.2004734814819122,3.111680814813021,,-0.0012004734814819,-1200.4734814819124,-1200.4734814819124,3.1089071975301468,3.1089071975301468,3.1089071975301468,-44.41295996471638,-57.57235550981753,-36.150083692211005,7.1352628619050575,9.152664206176455,5.846578491672343,-3119.3679776095228,-3.1193679776095227,-115.4047692363602,-149.5987749360225,-93.9341144947118
3092.425999999989,-0.0971579876540436,-1.1985605185189347,3.1196511851834514,,-0.0011985605185189,-1198.5605185189347,-1198.5605185189347,3.112095469135109,3.112095469135109,3.112095469135109,-44.458506701930126,-57.63139757657608,-36.1871566178501,7.153310737787066,9.175572114124996,5.861465843835875,-3114.397242727733,-3.114397242727733,-115.523120066879,-149.75219267928756,-94.03044656606428
3092.475999999989,-0.0970045555556013,-1.1981782222222908,3.1158894074083223,,-0.0011981782222222,-1198.1782222222907,-1198.1782222222907,3.112733222222108,3.112733222222108,3.112733222222108,-44.46761746031582,-57.64320781892791,-36.19457235141986,7.156925334683232,9.180159924016577,5.86444751707601,-3113.403865661013,-3.113403865661013,-115.54679389924468,-149.78288098050237,-94.0497159645015
3092.525999999989,-0.0962496913584263,-1.197407839506539,3.1129032962964147,,-0.0011974078395065,-1197.407839506539,-1197.407839506539,3.1132647037035857,3.1132647037035857,3.1132647037035857,-44.47521005290836,-57.65305006858491,-36.20075236864634,7.162544020338429,9.18729131749173,5.869082398918486,-3111.4020661951445,-3.1114020661951445,-115.56652285666486,-149.80845555493593,-94.0657744182156
3092.575999999989,-0.0944429012349659,-1.195760308642338,3.112371814814932,,-0.0011957603086423,-1195.7603086423385,-1195.7603086423385,3.1137961851850684,3.1137961851850684,3.1137961851850684,-44.482802645500975,-57.662892318242,-36.20693238587288,7.173239220705864,9.200865641237716,5.877905057873819,-3107.1210428329573,-3.107121042832957,-115.58625181408524,-149.83403012936972,-94.08183287192983
3092.625999999989,-0.0940922499999513,-1.194640650000206,3.1129978999997574,,-0.0011946406500002,-1194.6406500002065,-1194.6406500002065,3.1135575500001216,3.1135575500001216,3.1135575500001216,-44.47939357143031,-57.65847314815039,-36.20415755814095,7.179190394374222,9.208418672879604,5.882814362268774,-3104.211668017106,-3.1042116680171064,-115.57739351221235,-149.82254714546045,-94.07462262621937
