t,ion_current_M2,ion_current_M32,ion_current_M44,E,current1_muA,j,current1_mA_geo
101.1,8.796017007352941e-09,4.083170911764706e-08,5.672010227941174e-10,0.8300546890980299,4.47717151176549,11.633697586411293,0.0116336975864112
101.2,8.800848624999999e-09,4.081552719557197e-08,5.683545889705883e-10,0.8269709445985161,3.131861745214713,8.137980046225824,0.0081379800462258
101.3,8.805680242647059e-09,4.0834660036900374e-08,5.689997933823529e-10,0.8236555168889017,2.2117708640969687,5.747171689921066,0.005747171689921
101.4,8.805755356617647e-09,4.0853792878228777e-08,5.688155654411765e-10,0.8199752153179422,1.4986231542174386,3.8940944134803774,0.0038940944134803
101.5,8.800466753676469e-09,4.086078360294119e-08,5.686313375e-10,0.8161409569235814,0.9323215123131948,2.422589016090716,0.0024225890160907
101.6,8.795178150735292e-09,4.085861448529413e-08,5.679453397058824e-10,0.8122998869924569,0.4881656642888439,1.2684731186825835,0.0012684731186825
101.7,8.795413904411764e-09,4.0856445367647065e-08,5.670008544117648e-10,0.8082116127579639,0.1053166222638542,0.2736597718046425,0.0002736597718046
101.8,8.797491110294117e-09,4.087486375e-08,5.66056369117647e-10,0.8039473251606973,-0.2529982747523142,-0.657402873804935,-0.0006574028738049
101.9,8.799512044117646e-09,4.089691522058823e-08,5.658590801470586e-10,0.7995523591932561,-0.5632356095823944,-1.4635384716802444,-0.0014635384716802
102.0,8.79971351470588e-09,4.091308944852943e-08,5.657094845588233e-10,0.7950662564434061,-0.7573582580326482,-1.9679560890998065,-0.0019679560890998
102.1,8.799914985294117e-09,4.088993136029413e-08,5.655829e-10,0.7906389156393209,-0.9491186925018008,-2.46623561620536,-0.0024662356162053
102.2,8.800187573529413e-09,4.0866773272058825e-08,5.655379e-10,0.7861135892217598,-1.1835014654994145,-3.075267075767087,-0.003075267075767
102.3,8.800618455882353e-09,4.085341448529412e-08,5.654929e-10,0.781424894758348,-1.3343630922144696,-3.467273175597052,-0.003467273175597
102.4,8.801049338235295e-09,4.085415713235295e-08,5.661109147058825e-10,0.7767814749607652,-1.5299067176832442,-3.975383127980166,-0.0039753831279801
102.5,8.798346496323531e-09,4.085489977941176e-08,5.673919441176471e-10,0.7718605632442042,-1.6596333107757113,-4.31247094089669,-0.0043124709408966
102.6,8.793465981617647e-09,4.0856104117647065e-08,5.686729735294115e-10,0.7671334409632575,-1.7270111446353968,-4.487548741934949,-0.0044875487419349
102.7,8.788585466911765e-09,4.085751588235295e-08,5.687300625e-10,0.7624945052672429,-1.90323137160014,-4.945447847146617,-0.0049454478471466
102.8,8.789160653136532e-09,4.0858927647058833e-08,5.684419375e-10,0.7576824773192602,-2.0486937713795457,-5.323424336271544,-0.0053234243362715
102.9,8.790551059040592e-09,4.087179397058824e-08,5.682841413284133e-10,0.7530324123321835,-2.111194937799247,-5.485830370307538,-0.0054858303703075
103.0,8.792721352941176e-09,4.088501455882353e-08,5.701681634686343e-10,0.7481600674093883,-2.1767664837340788,-5.6562146260088575,-0.0056562146260088
103.1,8.79898605882353e-09,4.0895364742647055e-08,5.72052185608856e-10,0.7433131289551789,-2.251994825584561,-5.85169156423108,-0.005851691564231
103.2,8.805250764705883e-09,4.08971037132353e-08,5.724404672794116e-10,0.738479969519724,-2.3767210166589656,-6.175786092272153,-0.0061757860922721
103.3,8.804104382352941e-09,4.089884268382353e-08,5.700509452205883e-10,0.7337604302830305,-2.4524679029483423,-6.372610441280709,-0.0063726104412807
103.4,8.793525705882353e-09,4.088314426470589e-08,5.676614231617647e-10,0.7287468403141577,-2.467646600067418,-6.412051497218597,-0.0064120514972185
103.5,8.782947029411766e-09,4.0851982500000023e-08,5.671538871323527e-10,0.7238671197847223,-2.5983499571761497,-6.751677380688961,-0.0067516773806889
103.6,8.77830888235294e-09,4.082082073529412e-08,5.67751644485294e-10,0.7189412174124433,-2.691010824477884,-6.992451830684932,-0.0069924518306849
103.7,8.775980941176471e-09,4.085306529411765e-08,5.68349401838235e-10,0.7141530631012306,-2.653690961609171,-6.895478105769547,-0.0068954781057695
103.8,8.773653e-09,4.090018294117648e-08,5.695956680147061e-10,0.709095768572642,-2.7465721680318365,-7.1368250955247445,-0.0071368250955247
103.9,8.78214675e-09,4.0939969114391146e-08,5.709060724264702e-10,0.7042673960002972,-2.7547667268492377,-7.158118230908364,-0.0071581182309083
104.0,8.790640499999999e-09,4.090562594095941e-08,5.718571533088233e-10,0.6993765477041026,-2.8294922949041847,-7.352288737541746,-0.0073522887375417
104.1,8.79805594117647e-09,4.087128276752768e-08,5.712763812499999e-10,0.6945506653496121,-2.9159394403841548,-7.576917154183729,-0.0075769171541837
104.2,8.802698588235294e-09,4.0854197941176473e-08,5.706956091911764e-10,0.6895632106914926,-2.9509363210211634,-7.667854730447843,-0.0076678547304478
104.3,8.807341235294118e-09,4.086527147058825e-08,5.703322294117644e-10,0.6847817157441659,-3.001625098973142,-7.79956688669837,-0.0077995668866983
104.4,8.804607529411764e-09,4.0876345e-08,5.70213994117647e-10,0.6798485880701841,-3.0247061073443224,-7.859541687903576,-0.0078595416879035
104.5,8.796078117647061e-09,4.087285e-08,5.700957588235292e-10,0.6748255908525034,-3.195052851857248,-8.302178854088789,-0.0083021788540887
104.6,8.787548705882353e-09,4.086185e-08,5.685311540441174e-10,0.6699657079009135,-3.184849923657183,-8.275667075198143,-0.0082756670751981
104.7,8.788283073529413e-09,4.085084999999999e-08,5.664844261029412e-10,0.6650326876105349,-3.230099943683102,-8.393246901518669,-0.0083932469015186
104.8,8.790781970588236e-09,4.085771345588236e-08,5.645155481617648e-10,0.6601910967748684,-3.243057187975253,-8.426915627689201,-0.0084269156276892
104.9,8.7915155e-09,4.0865717132352944e-08,5.650638202205883e-10,0.6553710003825071,-3.3453274976775007,-8.692659714556985,-0.0086926597145569
105.0,8.779303000000001e-09,4.087033588235294e-08,5.656120922794118e-10,0.650410111215647,-3.425861614968024,-8.901923434627667,-0.0089019234346276
105.1,8.7670905e-09,4.0862953529411767e-08,5.66053608088235e-10,0.6455489789683508,-3.4697746624086983,-9.01602920714052,-0.0090160292071405
105.2,8.76456755882353e-09,4.0855571176470584e-08,5.662575051470588e-10,0.6406641094503487,-3.555732608399274,-9.23938646432299,-0.0092393864643229
105.3,8.776578955882356e-09,4.0852830367647055e-08,5.664614022058821e-10,0.6358531286352064,-3.5992302558914178,-9.352412841649414,-0.0093524128416494
105.4,8.788590352941176e-09,4.085473110294119e-08,5.678757102941173e-10,0.6309957229150321,-3.7406555117830136,-9.719899022109557,-0.0097198990221095
105.5,8.785310000000002e-09,4.08566318382353e-08,5.701311514705882e-10,0.6260302324326829,-3.8392966123204415,-9.97621279749823,-0.0099762127974982
105.6,8.774833529411766e-09,4.086956154411765e-08,5.723865926470591e-10,0.6212108975834121,-3.904199680101832,-10.144860047444949,-0.0101448600474449
105.7,8.764357058823531e-09,4.0885601985294123e-08,5.713023213235294e-10,0.616288493411117,-3.9926359206935182,-10.374657024402191,-0.0103746570244021
105.8,8.771117176470588e-09,4.090043691176472e-08,5.697190124999999e-10,0.6115010078236963,-4.0296423681035565,-10.470816355529992,-0.0104708163555299
105.9,8.778595485294119e-09,4.0896385441176473e-08,5.68467540073529e-10,0.6066150383510353,-4.078617740149708,-10.598076315544844,-0.0105980763155448
106.0,8.784103852941177e-09,4.0892333970588244e-08,5.690964738970586e-10,0.6016847504379621,-4.196794086409903,-10.905151412097489,-0.0109051514120974
106.1,8.783374073529412e-09,4.088893625e-08,5.69725407720588e-10,0.5968455888509301,-4.299999237150856,-11.173324634839805,-0.0111733246348398
106.2,8.782644294117646e-09,4.088680757352943e-08,5.700918360294115e-10,0.5920337484442156,-4.431349951886733,-11.514632643474387,-0.0115146326434743
106.3,8.779606309963101e-09,4.0884678897058834e-08,5.701102919117647e-10,0.5872126678757855,-4.525966744496964,-11.760489463775109,-0.0117604894637751
