t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,j,current1_mA_geo
1532.2,2.2084238681318583e-10,7.358458933701662e-08,-0.0775571428571428,-0.0341292857142857,,-3.412928571428571e-05,-34.129285714285714,7.715298294577438e-11,-3.1020946937203013e-12,8.025507763949466e-11,1.4259691554026486e-10,1.648596485598721e-10,5.5982738253313795e-11,-2.4786572385688487e-11,8.076931063900228e-11,1.4316903259668282e-10,7.767335421650302e-11,-1.327000386741038e-09,-1.4303013178510547e-09,1.0330093111001627e-10,1.4259691554026486e-10,7.354699372982986e-08,3.7595607186730655e-11,-1.3874443599697144e-10,1.763400431837021e-10,7.366283780219783e-08,-7.824846518122566e-11,-88.68317592855804,-0.088683175928558
1532.3000000000004,2.1877645274725166e-10,7.361451175824183e-08,-0.0759280821917798,-0.0322889452054789,,-3.228894520547897e-05,-32.28894520547897,7.508704887984025e-11,-3.100378803599088e-12,7.818742768343933e-11,1.4259962193965506e-10,1.6486561555990726e-10,5.3910837187344495e-11,-2.4790925226714228e-11,7.870176241405873e-11,1.4316903259668282e-10,7.560742015056892e-11,-1.297077965515813e-09,-1.4301509024532932e-09,1.330729369374799e-10,1.4259962193965506e-10,7.354721262427807e-08,6.729913396376225e-11,-1.3880708394968574e-10,2.0610621791344798e-10,7.366313088397782e-08,-4.8619125736002886e-11,-83.90114672122992,-0.0839011467212299
1532.4,2.2111244917126848e-10,7.364731395604396e-08,-0.0713835999999934,-0.0304979999999979,,-3.0497999999998e-05,-30.497999999998,7.742304530385695e-11,-3.098661023139304e-12,8.052170632699627e-11,1.4260233359280568e-10,1.6487158183706772e-10,5.6240867334200756e-11,-2.4795275834548783e-11,8.103614316874954e-11,1.4316903259668282e-10,7.794341657458562e-11,-1.2642757677136543e-09,-1.4300006007301654e-09,1.6572483301651108e-10,1.4260233359280568e-10,7.35474315011044e-08,9.988245493957255e-11,-1.3886977802978824e-10,2.387522329693608e-10,7.366333461538452e-08,-1.602065934055565e-11,-79.24746864353153,-0.0792474686435315
1532.5,2.237374802197808e-10,7.36893086740332e-08,-0.0666442352941166,-0.0285352352941171,,-2.853523529411715e-05,-28.53523529411716,8.004807635236926e-11,-3.096941355308469e-12,8.314501770767773e-11,1.4260505049394794e-10,1.6487754739063068e-10,5.885993282915012e-11,-2.4799624210558308e-11,8.365955703970841e-11,1.4316903259668282e-10,8.056844762309794e-11,-1.2222810497244564e-09,-1.42985041260719e-09,2.0756936288273328e-10,1.4260505049394794e-10,7.354765036030695e-08,1.4165831372622597e-10,-1.3893251817617083e-10,2.805908319023968e-10,7.366359428571423e-08,2.5714388318943817e-11,-74.14732651998466,-0.0741473265199846
1532.6,2.2342973296703279e-10,7.372987552486196e-08,-0.0629363548387067,-0.0266945161290307,,-2.6694516129030782e-05,-26.69451612903078,7.974032909962124e-11,-3.0952198030741e-12,8.283554890269535e-11,1.4260777263731288e-10,1.6488351221987344e-10,5.854622074715931e-11,-2.4803970356108965e-11,8.335019110326828e-11,1.4316903259668282e-10,8.026070037034991e-11,-1.181714198895656e-09,-1.429700338009884e-09,2.4798613911422776e-10,1.4260777263731288e-10,7.354786920188365e-08,1.820063229783246e-10,-1.3899530432772528e-10,3.2100162730604987e-10,7.366391906077349e-08,6.595646408849939e-11,-69.36431339398493,-0.0693643133939849
1532.7,2.2213052707182067e-10,7.3762555082873e-08,-0.0613175937499977,-0.0249549218749985,,-2.495492187499853e-05,-24.95492187499854,7.844112320440916e-11,-3.0934963694037e-12,8.153461957381284e-11,1.4261050001713175e-10,1.6488947632407307e-10,5.724105074774757e-11,-2.480831427256689e-11,8.204936502031445e-11,1.4316903259668282e-10,7.896149447513782e-11,-1.1490346408846462e-09,-1.4295503768637647e-09,2.805157359791185e-10,1.4261050001713175e-10,7.35480880258325e-08,2.144670570405001e-10,-1.3905813642334348e-10,3.5352519346384357e-10,7.366438197802197e-08,9.81731048510032e-11,-64.84406809596878,-0.0648440680959687
1532.8000000000004,2.1800947734805902e-10,7.375355043956025e-08,-0.0553719999999967,-0.0234419999999962,,-2.344199999999628e-05,-23.44199999999628,7.432007348064753e-11,-3.091771057264768e-12,7.74118445379123e-11,1.4261323262763566e-10,1.6489543970250708e-10,5.3114037645551966e-11,-2.4812655961298227e-11,7.792669360685018e-11,1.4316903259668282e-10,7.48404447513762e-11,-1.1580392841973931e-09,-1.42940052909435e-09,2.7136124489695687e-10,1.4261323262763566e-10,7.35483068321514e-08,2.0524360740883743e-10,-1.3912101440191727e-10,3.443646218107548e-10,7.36649864285714e-08,8.856401098883801e-11,-60.91281919934072,-0.0609128191993407
1532.9,2.1539910994475087e-10,7.367044054945054e-08,-0.0524860952380918,-0.0216763809523796,,-2.1676380952379675e-05,-21.67638095237968,7.170970607733937e-11,-3.090043869624794e-12,7.479974994696417e-11,1.4261597046305595e-10,1.6490140235445288e-10,5.0497707590298e-11,-2.4816995423669087e-11,7.531470301396708e-11,1.4316903259668282e-10,7.223007734806804e-11,-1.2411491743070875e-09,-1.4292507946271576e-09,1.8810162032007028e-10,1.4261597046305595e-10,7.35485256208384e-08,1.219149286121447e-10,-1.3918393820233832e-10,2.61098866814483e-10,7.3665073756906e-08,5.3667925445584455e-12,-56.32494982717114,-0.0563249498271711
1533.0,2.1463513204419926e-10,7.36206551933702e-08,-0.0455814677419323,-0.0202477741935473,,-2.0247774193547305e-05,-20.247774193547304,7.094572817678777e-11,-3.0883148094512616e-12,7.403404298623903e-11,1.4261871351762398e-10,1.6490736427918786e-10,4.9727767765011426e-11,-2.48213326610456e-11,7.454910042605702e-11,1.4316903259668282e-10,7.146609944751644e-11,-1.2909345303874348e-09,-1.429101173387706e-09,1.3816664300027122e-10,1.4261871351762398e-10,7.354874439189143e-08,7.191080147875436e-11,-1.3924690776349842e-10,2.1115770924225283e-10,7.366596558011052e-08,-4.531038674032564e-11,-52.61278937978072,-0.0526127893797807
1533.1,2.147891813186824e-10,7.359925740331495e-08,-0.0432036031746019,-0.0187346190476158,,-1.8734619047615853e-05,-18.73461904761585,7.109977745127083e-11,-3.0865838797116448e-12,7.418636133098247e-11,1.4262146178557103e-10,1.6491332547598974e-10,4.987585584269258e-11,-2.4825667674793868e-11,7.470152351748643e-11,1.4316903259668282e-10,7.16201487219995e-11,-1.312332320442707e-09,-1.4289516653015131e-09,1.166193448588061e-10,1.4262146178557103e-10,7.354896314530857e-08,5.0294258006366296e-11,-1.3930992302428928e-10,1.8960418103065557e-10,7.366653149171268e-08,-6.727408839777239e-11,-48.68093434076147,-0.0486809343407614
