t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,j,current1_mA_geo
1552.2,1.4141057142857068e-10,7.367202662983443e-08,0.8837107142857089,0.0023875238095225,,2.387523809522565e-06,2.3875238095225657,-2.2788324388408106e-12,-2.7251949822780816e-12,4.46362543437271e-13,1.4323667555228879e-10,1.6603771836292168e-10,-2.4627146934350976e-11,-2.5614493399443348e-11,9.87346465092375e-13,1.4408986353591206e-10,-2.6792921073413564e-12,-1.2395630939232148e-09,-1.402372866647842e-09,1.6280977272462723e-10,1.4323667555228879e-10,7.359041929767117e-08,8.16073321632597e-11,-1.5211316387866126e-10,2.3372049604192097e-10,7.369976769230772e-08,-2.7741062473291038e-11,6.203856588328313,0.0062038565883283
1552.3000000000004,1.4080079005524902e-10,7.376382220994503e-08,0.8814427702702688,0.0018895405405402,,1.8895405405402808e-06,1.8895405405402816,-2.888613812162473e-12,-2.723159989562444e-12,-1.6545382260002961e-13,1.4324037030117303e-10,1.6604352649331696e-10,-2.524273643806791e-11,-2.5618426721064168e-11,3.7569028299626834e-13,1.4408986353591206e-10,-3.2890734806630185e-12,-1.1477675138126143e-09,-1.4022435358829126e-09,2.54476022070298e-10,1.4324037030117303e-10,7.359063462768058e-08,1.7318758226445146e-10,-1.5218383973284835e-10,3.2537142199729987e-10,7.369976769230772e-08,6.405451763730941e-11,4.909872933869678,0.0049098729338696
1552.4,1.4104526519337034e-10,7.375831615384605e-08,0.8760838387096779,0.0016683225806447,,1.668322580644714e-06,1.6683225806447142,-2.644138674041177e-12,-2.721123696401594e-12,7.69850223604174e-14,1.4324407032053688e-10,1.6604933375765208e-10,-2.500406856428177e-11,-2.562235807948352e-11,6.182895152017588e-13,1.4408986353591206e-10,-3.0445983425417232e-12,-1.1532735699115947e-09,-1.4021143016170043e-09,2.4884073170540973e-10,1.4324407032053688e-10,7.359084993966621e-08,1.6746621417982502e-10,-1.5225454947679355e-10,3.197207636566185e-10,7.369976769230772e-08,5.854846153832902e-11,4.335049557247894,0.0043350495572478
1552.5,1.4106915856353595e-10,7.365550846153857e-08,0.8717409375000098,0.0012140625000006,,1.214062500000673e-06,1.2140625000006733,-2.620245303875544e-12,-2.719086105634379e-12,9.884080175883485e-14,1.4324777561451668e-10,1.6605514015521882e-10,-2.498598159168281e-11,-2.5626287475963878e-11,6.403058842810603e-13,1.4408986353591206e-10,-3.0207049723760897e-12,-1.2560812622190575e-09,-1.4019851637502754e-09,1.4590390153121831e-10,1.4324777561451668e-10,7.359106523362615e-08,6.444322791242439e-11,-1.5232529304616239e-10,2.1676852095858683e-10,7.369976769230772e-08,-4.4259230769133716e-11,3.1546783362875326,0.0031546783362875
1552.6,1.4093976629834242e-10,7.365059895027628e-08,0.8689144677419347,0.0010396774193548,,1.0396774193548944e-06,1.0396774193548943,-2.7496375690690684e-12,-2.7170472200919416e-12,-3.259034897712672e-14,1.4325148618702914e-10,1.6606094568530858e-10,-2.512117938696616e-11,-2.5630214911767715e-11,5.090355248015589e-13,1.4408986353591206e-10,-3.150097237569614e-12,-1.2609907734813616e-09,-1.4018561221828834e-09,1.4086534870152175e-10,1.4325148618702914e-10,7.35912805095583e-08,5.931844071796859e-11,-1.5239607037662038e-10,2.1171451109458902e-10,7.369976769230772e-08,-4.916874203143762e-11,2.701547763450724,0.0027015477634507
1552.7,1.4209300000000098e-10,7.369175917127077e-08,0.8653398636363606,0.000926818181818,,9.268181818180202e-07,0.9268181818180202,-1.5964038674105393e-12,-2.715007042595544e-12,1.1186031751850042e-12,1.4325520204177282e-10,1.6606675034721312e-10,-2.397375034721214e-11,-2.563414038815753e-11,1.6603900409453884e-12,1.4408986353591206e-10,-1.996863535911085e-12,-1.2198305524868872e-09,-1.401727176814984e-09,1.8189662432809677e-10,1.4325520204177282e-10,7.359149576746076e-08,1.0026340380999603e-10,-1.5246688140383298e-10,2.52730285213829e-10,7.37002391160221e-08,-8.479944751352836e-12,2.4082888976943826,0.0024082888976943
1552.8000000000004,1.4360800000000483e-10,7.372473370165753e-08,0.8567619999999962,0.0007470000000003,,7.470000000003153e-07,0.7470000000003153,-8.140386740671933e-14,-2.7129655759697026e-12,2.631561708562984e-12,1.4325892318221508e-10,1.6607255414022406e-10,-2.246455414021934e-11,-2.5638063906344887e-11,3.173509766125552e-12,1.4408986353591206e-10,-4.81863535907265e-13,-1.1868560221001115e-09,-1.4015983275467351e-09,2.147423054466236e-10,1.4325892318221508e-10,7.35917110073315e-08,1.3302269432601503e-10,-1.5253772606346566e-10,2.855604203894807e-10,7.37002391160221e-08,2.449458563542261e-11,1.9410406937093228,0.0019410406937093
1552.9,1.4323156132596592e-10,7.37517893406593e-08,0.8525337903225767,0.0005176290322585,,5.176290322585213e-07,0.5176290322585213,-4.578425414456223e-13,-2.710922823038938e-12,2.2530802815933158e-12,1.4326264961170728e-10,1.660783570636334e-10,-2.2846795737667487e-11,-2.5641985467541372e-11,2.795189729873891e-12,1.4408986353591206e-10,-8.583022099461684e-13,-1.159800383098332e-09,-1.4014695742782955e-09,2.416691911799634e-10,1.4326264961170728e-10,7.35919262291685e-08,1.5986311149080635e-10,-1.5260860429118386e-10,3.1247171578199023e-10,7.37002391160221e-08,5.1550224637202254e-11,1.3450321497439646,0.0013450321497439
1553.0,1.4247992596684888e-10,7.370527835164836e-08,0.8479617796610088,0.0005693389830507,,5.693389830507624e-07,0.5693389830507625,-1.2094779005625868e-12,-2.708878786627768e-12,1.4994008860651809e-12,1.4326638133363548e-10,1.6608415911673283e-10,-2.3604233149883924e-11,-2.564590507295858e-11,2.041671923074658e-12,1.4408986353591206e-10,-1.6099375690631326e-12,-1.2063113721092711e-09,-1.401340916909822e-09,1.9502954480055188e-10,1.4326638133363548e-10,7.359214143296982e-08,1.1313691867856679e-10,-1.5267951602265298e-10,2.658164347012197e-10,7.37002391160221e-08,5.039235626263632e-12,1.4793977705704764,0.0014793977705704
1553.1,1.4004876574585472e-10,7.368479011049732e-08,0.8440788360655755,0.0003906229508203,,3.906229508203677e-07,0.3906229508203678,-3.640638121556795e-12,-2.7068334695607104e-12,-9.338046519960847e-13,1.432701183513828e-10,1.6608996029881442e-10,-2.6041194552959663e-11,-2.564982272380807e-11,-3.913718291515945e-13,1.4408986353591206e-10,-4.041097790057342e-12,-1.2267996132603372e-09,-1.401212355341475e-09,1.7441274208113726e-10,1.432701183513828e-10,7.359235661873337e-08,9.243349176393732e-11,-1.5275046119353839e-10,2.4518395295747565e-10,7.370065219780223e-08,-1.5862087304923958e-11,1.0150134450319002,0.0010150134450319
