t,ion_current_M2,ion_current_M32,ion_current_M44,chan_current,E,current1_mA,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,ion_current_M44_sBG_sub,ion_current_M44_sBG_ALS,ion_current_M44_sBG_ALS_sub,ion_current_M44_ALS,ion_current_M44_UVS,ion_current_M44_UVS_sub,ion_current_M44_UVS_ALS,ion_current_M44_UVS_ALS_sub,ion_current_M44_MF,ion_current_M44_MF_sub,j,current1_mA_geo
167.0,1.0952151476014765e-08,1.3962042426470593e-07,6.767150918819188e-10,2.286945882313689,-0.2837982208479744,-0.9669218405343408,-0.0009669218405343,-966.9218405343408,1.480426689250054e-09,-1.3038717497733978e-11,1.4934654067477883e-09,3.431946091108404e-09,9.566660341606344e-09,1.3854911344084188e-09,-9.218553468985335e-11,1.477676669098272e-09,9.473168941176473e-09,1.4789825348382903e-09,2.955844852941194e-09,2.395100646516342e-10,2.7163347882895604e-09,3.431946091108404e-09,1.39682496269164e-07,-6.20720044580806e-11,-5.21953387075334e-10,4.598813826172535e-10,1.396726e-07,-5.217573529406048e-11,2.290489676036585e-12,-3.023648943780585e-12,5.31413861981717e-12,3.431946091108404e-09,6.733895933441609e-10,3.325498537757925e-12,-2.2562066329599685e-12,5.581705170717893e-12,6.729949264705882e-10,3.720165411330629e-12,-2512.4961715029185,-2.5124961715029186
167.10000000000002,1.0986236346863482e-08,1.3950082867647057e-07,6.767241411764712e-10,2.2801097923824707,-0.2892977226193012,-0.994625625727613,-0.0009946256257275,-994.6256257276128,1.5145115600987731e-09,-1.300677298915675e-11,1.5275183330879299e-09,3.423190358698444e-09,9.566906542143496e-09,1.4193298047199871e-09,-9.20090356475668e-11,1.5113388403675539e-09,9.473287154411764e-09,1.5129491924517172e-09,2.8362492647058326e-09,2.3878679377017713e-10,2.5974624709356553e-09,3.423190358698444e-09,1.3968126554225877e-07,-1.804368657882012e-10,-5.208372889340818e-10,3.4040042314588057e-10,1.3966954264705888e-07,-1.6871397058826442e-10,2.299538970589341e-12,-3.016448336078542e-12,5.315987306667883e-12,3.423190358698444e-09,6.73392170485164e-10,3.331970691307217e-12,-2.250893756940055e-12,5.5828644482472706e-12,6.730093720588232e-10,3.714769117648024e-12,-2584.4830181292905,-2.5844830181292906
167.20000000000002,1.100956470588235e-08,1.3938123308823528e-07,6.785718985294121e-10,2.272561360136319,-0.2939176091389742,-1.02521623345768,-0.0010252162334576,-1025.2162334576803,1.5378399191176415e-09,-1.2974841948867764e-11,1.5508147610665095e-09,3.4144384192217513e-09,9.567152724822653e-09,1.4424119810596991e-09,-9.183252508499272e-11,1.534244506144692e-09,9.47339019852941e-09,1.5361745073529399e-09,2.716653676470524e-09,2.380644799298169e-10,2.478589196540707e-09,3.4144384192217513e-09,1.3968003286259326e-07,-2.9879977435797733e-10,-5.19721087668373e-10,2.2092131331039567e-10,1.3966852830882354e-07,-2.8729522058825677e-10,4.147296323530212e-12,-3.009250579697783e-12,7.1565469032279945e-12,3.4144384192217513e-09,6.733947421157601e-10,5.177156413652411e-12,-2.2455828140830385e-12,7.42273922773545e-12,6.730115566176474e-10,5.56034191176504e-12,-2663.9711231484807,-2.663971123148481
167.3,1.1000623529411764e-08,1.393199375e-07,6.804196558823534e-10,2.264187773625317,-0.2983895052953659,-1.059150842910184,-0.0010591508429101,-1059.150842910184,1.528898742647054e-09,-1.2942924462670495e-11,1.5418416671097246e-09,3.405690304808661e-09,9.567398888084712e-09,1.433224641327051e-09,-9.16560028966424e-11,1.5248806442236934e-09,9.473620547794114e-09,1.5270029816176483e-09,2.655358088235258e-09,2.373431237788755e-10,2.4180149644563824e-09,3.405690304808661e-09,1.3967879820924421e-07,-3.588607092442235e-10,-5.186047839407504e-10,1.5974407469652722e-10,1.396540870848709e-07,-3.3414958487089597e-10,5.995053676471186e-12,-3.002055690963972e-12,8.99710936743516e-12,3.405690304808661e-09,6.73397308218115e-10,7.022347664238061e-12,-2.2402738159862184e-12,9.26262148022428e-12,6.730115566176474e-10,7.408099264706014e-12,-2752.1484429241364,-2.7521484429241365
167.4,1.0991682352941174e-08,1.393718125e-07,6.809102073529411e-10,2.265187439424997,-0.2982292228991585,-1.0550996196439546,-0.0010550996196439,-1055.0996196439544,1.519957566176465e-09,-1.2911020616368273e-11,1.532868586792833e-09,3.3969460475895117e-09,9.567645030367118e-09,1.424037322574055e-09,-9.147946897702715e-11,1.5155167915510823e-09,9.47369036764706e-09,1.517991985294113e-09,2.70723308823526e-09,2.3662272596567484e-10,2.470610362269586e-09,3.3969460475895117e-09,1.3967756156117718e-07,-3.0574906117715867e-10,-5.174883784137572e-10,2.1173931723659844e-10,1.396525727941176e-07,-2.8076029411758336e-10,6.4856051470588675e-12,-2.9948636862027693e-12,9.480468833261638e-12,3.3969460475895117e-09,6.733998687743541e-10,7.510338578586662e-12,-2.234966774246888e-12,9.745305352833547e-12,6.730115566176474e-10,7.898650735293696e-12,-2741.621549725943,-2.7416215497259437
167.5,1.0966915220588229e-08,1.3942368749999997e-07,6.79673405882353e-10,2.270855858308123,-0.2964207938015215,-1.032127912029857,-0.0010321279120297,-1032.127912029857,1.495190433823518e-09,-1.2879130495764267e-11,1.508069564319282e-09,3.3882056796946393e-09,9.567891150103862e-09,1.399024070484365e-09,-9.1302923220658e-11,1.490326993705023e-09,9.473840551470589e-09,1.493074669117638e-09,2.7591080882352366e-09,2.3590328713853747e-10,2.523204801096699e-09,3.3882056796946393e-09,1.39676322897246e-07,-2.5263539724603305e-10,-5.163718717499351e-10,2.6373647450390233e-10,1.39652125e-07,-2.2843750000001915e-10,5.248803676470808e-12,-2.9876745817398306e-12,8.236478258210638e-12,3.3882056796946393e-09,6.734024237665569e-10,6.270982115796115e-12,-2.22966170046234e-12,8.500643816258454e-12,6.730115566176474e-10,6.6618492647056354e-12,-2681.930760859897,-2.681930760859897
167.60000000000002,1.0928113749999986e-08,1.394667867647059e-07,6.784366044117642e-10,2.276433942426704,-0.2941286231191889,-1.009522293062579,-0.0010095222930625,-1009.5222930625788,1.456388963235277e-09,-1.2847254186661512e-11,1.4692362174219391e-09,3.379469233254382e-09,9.568137245725486e-09,1.3599765042744999e-09,-9.11263655220458e-11,1.4511028697965455e-09,9.47398142647059e-09,1.4541323235293959e-09,2.802207352941143e-09,2.3518480794578616e-10,2.5670225449953564e-09,3.379469233254382e-09,1.396750821961932e-07,-2.0829543148732728e-10,-5.152552646118279e-10,3.0695983312450045e-10,1.396513386029411e-07,-1.8455183823522348e-10,4.012002205882333e-12,-2.980488393900824e-12,6.992490599783157e-12,3.379469233254382e-09,6.734049731767585e-10,5.031631235006044e-12,-2.2243586062298668e-12,7.255989841235909e-12,6.730115566176474e-10,5.425047794117161e-12,-2623.191234324481,-2.623191234324481
167.70000000000002,1.0889312279411757e-08,1.3950450735294117e-07,6.764621735294115e-10,2.282055835160933,-0.2915859443670613,-0.9867391362791302,-0.0009867391362791,-986.7391362791302,1.4175874926470483e-09,-1.2815391774862871e-11,1.430402884421911e-09,3.3707367403990806e-09,9.568383315659065e-09,1.3209289637526935e-09,-9.094979577570139e-11,1.4118787595283951e-09,9.474037316176473e-09,1.4152749632352858e-09,2.839927941176441e-09,2.3446728903574366e-10,2.605460652140698e-09,3.3707367403990806e-09,1.3967383943664912e-07,-1.6933208370794467e-10,-5.141385576619764e-10,3.4480647395403206e-10,1.396503919117647e-07,-1.4588455882353779e-10,2.03757132352926e-12,-2.973305139011413e-12,5.010876462540673e-12,3.3707367403990806e-09,6.734075169869502e-10,3.0546565424609138e-12,-2.219057503146758e-12,5.273714045607673e-12,6.730093720588232e-10,3.4528014705879426e-12,-2563.9903849967504,-2.5639903849967505
167.8,1.0841201764705872e-08,1.395422279411765e-07,6.742008867647054e-10,2.287856555355699,-0.2885642467934683,-0.9632312673278748,-0.0009632312673278,-963.2312673278748,1.3694769779411647e-09,-1.2783543346171064e-11,1.3822605212873352e-09,3.3620082332590757e-09,9.56862935832822e-09,1.272572406377652e-09,-9.077321387613532e-11,1.3633456202537875e-09,9.474052393382356e-09,1.3671493713235172e-09,2.8776485294117403e-09,2.3375073105673315e-10,2.6438977983550067e-09,3.3620082332590757e-09,1.3967259459713233e-07,-1.3036665595585965e-10,-5.130217515629233e-10,3.82655095607064e-10,1.3964730588235293e-07,-1.0507794117645198e-10,-2.2371544117681133e-13,-2.966124833397257e-12,2.7424093922204454e-12,3.3620082332590757e-09,6.734100551790807e-10,7.908315856247188e-13,-2.213758402810304e-12,3.0045899884350225e-12,6.729949264705882e-10,1.2059602941172329e-12,-2502.906408749423,-2.502906408749423
167.9,1.0790907647058815e-08,1.3949847601476013e-07,6.719396000000006e-10,2.293696286558401,-0.2853428336866653,-0.9395653032381824,-0.0009395653032381,-939.5653032381824,1.3191828602941067e-09,-1.2751708986388676e-11,1.331934569280495e-09,3.3532837439647114e-09,9.56887537215312e-09,1.222032274905694e-09,-9.059661971785798e-11,1.312628894623552e-09,9.474052393382356e-09,1.3168552536764591e-09,2.8338966029954006e-09,2.3303513465707785e-10,2.600861468338322e-09,3.3532837439647114e-09,1.3967134765604914e-07,-1.728716412889814e-10,-5.119048469772105e-10,3.390332056882291e-10,1.3964706985294118e-07,-1.485938381810455e-10,-2.4850022058816416e-12,-2.9589474933840093e-12,4.73945287502368e-13,3.3532837439647114e-09,6.734125877350515e-10,-1.4729877350511436e-12,-2.2084613168177927e-12,7.354735817666495e-13,6.729918981617648e-10,-1.0522981617641974e-12,-2441.4116304978343,-2.4414116304978344
168.0,1.0739468676470581e-08,1.3944567158671586e-07,6.73804710294118e-10,2.2996310556350466,-0.2820210224529438,-0.9155141907856934,-0.0009155141907856,-915.5141907856934,1.2677438897058707e-09,-1.2719888781318143e-11,1.280463778487189e-09,3.344563304646332e-09,9.56912135555046e-09,1.1703473209201187e-09,-9.042001319537972e-11,1.2607673341154983e-09,9.474052393382356e-09,1.2654162830882231e-09,2.781092174951128e-09,2.3232050048510155e-10,2.548771674466026e-09,3.344563304646332e-09,1.3967009859169324e-07,-2.2442700497735388e-10,-5.107878445673785e-10,2.863608395900249e-10,1.3964561727941186e-07,-1.9994569269597463e-10,-6.198919117640843e-13,-2.9517731352973253e-12,2.331881223533241e-12,3.344563304646332e-09,6.73415114636722e-10,3.895956573957853e-13,-2.2031662567665148e-12,2.5927619141623005e-12,6.72986769852941e-10,8.17940441177119e-13,-2378.9160642337906,-2.3789160642337905
