t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,j,current1_mA_geo
116.9,6.885756049723762e-10,1.304013480662983e-07,-0.1170761454545455,-0.3322772181818182,,-0.0003322772181818,-332.2772181818182,5.706407203569931e-10,1.5126946195172385e-11,5.555137741618205e-10,1.5585704699542864e-10,2.9339511131389076e-10,3.9518049365848537e-10,-1.8478734260749992e-10,5.799678362659851e-10,1.3856428839779008e-10,5.500113165745861e-10,4.944679187845309e-08,4.941044434464578e-08,3.634753380729951e-11,1.5585704699542864e-10,1.319309726754721e-07,-1.529624609173814e-09,-1.9951117956254747e-09,4.654871864516601e-10,1.3043699835164833e-07,-3.5650285350036266e-11,-863.405089803438,-0.863405089803438
117.0,6.815924558011052e-10,1.3043699835164833e-07,-0.1114117857142857,-0.3262991428571428,,-0.0003262991428571,-326.29914285714284,5.636575711857221e-10,1.5126903951488762e-11,5.485306672342333e-10,1.5583997671660858e-10,2.932849617441637e-10,3.883074940569415e-10,-1.8466754644115288e-10,5.729750404980941e-10,1.385538850828731e-10,5.430385707182322e-10,4.9482442163803124e-08,4.9391743209525846e-08,9.06989542772647e-11,1.5583997671660858e-10,1.3191022486155166e-07,-1.473226509903301e-09,-1.994254319887197e-09,5.21027809983896e-10,1.304369861878453e-07,1.2163803033578663e-14,-847.8713716304131,-0.8478713716304132
117.1,6.72685624861878e-10,1.3059013021978022e-07,-0.1089582456140351,-0.3218599824561404,,-0.0003218599824561,-321.8599824561404,5.54750740246495e-10,1.5126846907706237e-11,5.396238933387886e-10,1.5582289135385182e-10,2.931748778526252e-10,3.79510747009253e-10,-1.845477870957824e-10,5.640585341050355e-10,1.3850833370165746e-10,5.341772911602204e-10,4.9635574031935007e-08,4.9373044587650246e-08,2.6252944428476115e-10,1.5582289135385182e-10,1.3188948480966726e-07,-1.2993545898870099e-09,-1.993397103792313e-09,6.940425139053027e-10,1.30436944198895e-07,1.5318602088521312e-10,-836.3364439406607,-0.8363364439406608
117.2,6.631713154696143e-10,1.3055557237569061e-07,-0.1031467454545444,-0.3142405272727269,,-0.0003142405272727,-314.24052727272687,5.452364308542312e-10,1.5126775078861965e-11,5.301096557753692e-10,1.5580579089166323e-10,2.93064859611663e-10,3.7010645585795117e-10,-1.8442806460297718e-10,5.54534520460928e-10,1.3849584751381216e-10,5.24675467955802e-10,4.960101618784541e-08,4.93543484847743e-08,2.4666770307110037e-10,1.5580579089166323e-10,1.3186875251753194e-07,-1.3131801418413024e-09,-1.9925401475019827e-09,6.793600056606795e-10,1.304336668508287e-07,1.2190552486188014e-10,-816.5376854736006,-0.8165376854736006
117.3,6.525754901098894e-10,1.3048903736263738e-07,-0.0978972857142858,-0.309709857142857,,-0.0003097098571428,-309.70985714285706,5.346406054945065e-10,1.5126688479993188e-11,5.195139170145134e-10,1.5578867531454794e-10,2.929549069936733e-10,3.5962058311621627e-10,-1.8430837899432627e-10,5.439289621105426e-10,1.3849218681318672e-10,5.14083303296703e-10,4.9534481174792154e-08,4.933565490667957e-08,1.9882626811256767e-10,1.5578867531454794e-10,1.3184802798285928e-07,-1.3589906202218721e-09,-1.991683451177368e-09,6.326928309554956e-10,1.3041821270718233e-07,7.082465545500366e-11,-804.7649745072728,-0.8047649745072728
117.4,6.41752060220994e-10,1.3044997142857144e-07,-0.0939186666666664,-0.3060067777777777,,-0.0003060067777777,-306.00677777777776,5.238171756056109e-10,1.5126587126137167e-11,5.086905884794737e-10,1.5577154460701115e-10,2.9284501997105785e-10,3.4890704024993607e-10,-1.8418873030141843e-10,5.330957705513546e-10,1.3849218681318672e-10,5.032598734078071e-10,4.949541524072623e-08,4.931696385917232e-08,1.7845138155390374e-10,1.5577154460701115e-10,1.3182731120336302e-07,-1.377339774791583e-09,-1.990827014979628e-09,6.134872401880449e-10,1.3041701933701658e-07,3.2952091554860475e-11,-795.1427151503101,-0.7951427151503101
117.5,6.297863696132604e-10,1.304407950276243e-07,-0.0909203684210522,-0.3035685438596488,,-0.0003035685438596,-303.5685438596488,5.118514849978775e-10,1.5126471032331248e-11,4.967250139655464e-10,1.5575439875355794e-10,2.9273519851622687e-10,3.370511710970337e-10,-1.8406911855584227e-10,5.21120289652876e-10,1.3849218681318672e-10,4.912941828000739e-10,4.9486238839779096e-08,4.929827534807868e-08,1.8796349170041518e-10,1.5575439875355794e-10,1.318066021767576e-07,-1.365807149133307e-09,-1.9899708390699267e-09,6.241636899366192e-10,1.3041444175824174e-07,2.6353269382562928e-11,-788.8070909791338,-0.7888070909791338
117.6,6.18651635911602e-10,1.3053759060773478e-07,-0.0861739090909087,-0.3000506363636361,,-0.0003000506363636,-300.05063636363616,5.00716751296219e-10,1.512634021361282e-11,4.855904110826064e-10,1.5573723773869371e-10,2.9262544260159677e-10,3.260261933100054e-10,-1.8394954378918663e-10,5.09975737099192e-10,1.3849218681318672e-10,4.801594490984157e-10,4.9583034419889583e-08,4.9279589379242624e-08,3.0344504064695285e-10,1.5573723773869371e-10,1.3178590090075796e-07,-1.2483102930231851e-09,-1.989114923609423e-09,7.40804630586238e-10,1.304013480662983e-07,1.3624254143648276e-10,-779.6659911043511,-0.7796659911043511
117.7,6.092826856353585e-10,1.305136513812155e-07,-0.0804840701754383,-0.2972014385964911,,-0.0002972014385964,-297.2014385964912,4.913478010199755e-10,1.5126194685019314e-11,4.762216063349561e-10,1.557200615469238e-10,2.9251575219959157e-10,3.1676693343576716e-10,-1.8383000603304012e-10,5.005969394688076e-10,1.3849218681318672e-10,4.707904988221721e-10,4.95590951933703e-08,4.926090595852688e-08,2.9818923484340286e-10,1.557200615469238e-10,1.3176520737307905e-07,-1.2515559918635547e-09,-1.988259268759281e-09,7.367032768957263e-10,1.303965483516484e-07,1.1710302956711777e-10,-772.2624987208815,-0.7722624987208815
117.8,5.95841270329668e-10,1.3031597182320444e-07,-0.074655,-0.2949577999999997,,-0.0002949577999999,-294.9577999999997,4.77906385714285e-10,1.5126034461588242e-11,4.6278035125269694e-10,1.5570287016275363e-10,2.9240612728264267e-10,3.0343514304702556e-10,-1.837105053189917e-10,4.871456483660174e-10,1.3849218681318672e-10,4.5734908351648165e-10,4.93614156353592e-08,4.924222509182455e-08,1.191905435346534e-10,1.5570287016275363e-10,1.317445215914369e-07,-1.428549768232424e-09,-1.9874038746806624e-09,5.588541064482375e-10,1.303938602209945e-07,-7.788839779007112e-11,-766.4325203838466,-0.7664325203838466
