t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,ion_current_M32_sBG_sub,ion_current_M32_sBG_ALS,ion_current_M32_sBG_ALS_sub,ion_current_M32_ALS,ion_current_M32_UVS,ion_current_M32_UVS_sub,ion_current_M32_UVS_ALS,ion_current_M32_UVS_ALS_sub,ion_current_M32_MF,ion_current_M32_MF_sub,j,current1_mA_geo
95.9,1.3875412817679535e-10,1.3858908839779004e-07,0.8826060357142854,0.0044739642857142,,4.473964285714239e-06,4.473964285714239,2.0819243561412288e-11,1.4790310898375582e-11,6.028932663036706e-12,1.5911662021695648e-10,3.180254493629224e-10,-1.79271321186127e-10,-2.1071084758206406e-10,3.143952639593708e-11,1.4710481602209966e-10,-8.350687845304287e-12,5.7634532209944835e-08,5.3384195441644464e-08,4.2503367683003774e-09,1.5911662021695648e-10,1.36463599913787e-07,2.1254884840030675e-09,-2.180584204858591e-09,4.306072688861658e-09,1.3834386978021974e-07,2.4521861757027577e-10,11.625363776130971,0.0116253637761309
96.0,1.3701918571428568e-10,1.384787016574586e-07,0.8752626727272729,0.0019152181818181,,1.915218181818189e-06,1.915218181818189,1.908430109890265e-11,1.4793571770836967e-11,4.2907293280656814e-12,1.5910315529016122e-10,3.1790088437948216e-10,-1.8088169866519648e-10,-2.1058401889506238e-10,2.9702320229865925e-11,1.4710481602209966e-10,-1.0085630307813923e-11,5.752414546961337e-08,5.33650965180797e-08,4.159048951533672e-09,1.5910315529016122e-10,1.3644117069263806e-07,2.037530964820525e-09,-2.179677313926085e-09,4.217208278746611e-09,1.383427773480663e-07,1.3592430939229442e-10,4.9765949507891785,0.0049765949507891
96.1,1.3748292197802199e-10,1.3836623646408844e-07,0.8718811481481479,0.0015989814814814,,1.5989814814814511e-06,1.5989814814814511,1.95480373626389e-11,1.4796817007290803e-11,4.751220355348097e-12,1.5908965836812162e-10,3.1777639103230766e-10,-1.802934690542856e-10,-2.104572203951328e-10,3.0163751340847296e-11,1.4710481602209966e-10,-9.621894044077672e-12,5.74116802762432e-08,5.3345998873363e-08,4.065681402880202e-09,1.5908965836812162e-10,1.3641874972387564e-07,1.947486740212802e-09,-2.178770632509835e-09,4.126257372722637e-09,1.383418276243094e-07,2.4408839779008488e-11,4.154870313308978,0.0041548703133089
96.2,1.3810293204419883e-10,1.3824640220994477e-07,0.8690143636363632,0.001442,,1.442e-06,1.442,2.016804742881574e-11,1.48000466008725e-11,5.368000827943241e-12,1.5907612973618526e-10,3.1765196929226703e-10,-1.7954903724806815e-10,-2.1033045211386448e-10,3.078141486579632e-11,1.4710481602209966e-10,-9.001883977900833e-12,5.729184602209958e-08,5.3326902513381296e-08,3.964943508718255e-09,1.5907612973618526e-10,1.363963370051166e-07,1.8500652048281607e-09,-2.177864160857633e-09,4.027929365685794e-09,1.3833823516483516e-07,-9.183295489038836e-11,3.746962088792051,0.003746962088792
96.3,1.390707773480663e-10,1.3818885604395606e-07,0.8627394285714283,0.0028685714285717,,2.8685714285717524e-06,2.8685714285717534,2.113589273268324e-11,1.480326054471749e-11,6.33263218796575e-12,1.5906256967753908e-10,3.1752761913023766e-10,-1.784568417821714e-10,-2.1020371408284632e-10,3.1746872300674896e-11,1.4710481602209966e-10,-8.034038674033331e-12,5.723429985611085e-08,5.33078074440216e-08,3.926492412089254e-09,1.5906256967753908e-10,1.36373932533979e-07,1.8149235099770758e-09,-2.176957899217271e-09,3.9918814091943455e-09,1.3833673922651933e-07,-1.4788318256326915e-10,7.4538338362346845,0.0074538338362346
96.4,1.3934334640883974e-10,1.3822094395604398e-07,0.8590067636363635,0.0023249090909085,,2.32490909090857e-06,2.3249090909085703,2.140846179345668e-11,1.4806458831961182e-11,6.602002961495499e-12,1.5904897847327278e-10,3.1740334051710245e-10,-1.7805999410826268e-10,-2.1007700633366742e-10,3.2017012225404665e-11,1.4710481602209966e-10,-7.761469613259889e-12,5.726638776819876e-08,5.328871367117084e-08,3.977674097027927e-09,1.5904897847327278e-10,1.363515363080804e-07,1.869407647963604e-09,-2.1760518478365392e-09,4.045459495800143e-09,1.383334861878453e-07,-1.1254223180131471e-10,6.041155494814428,0.0060411554948144
96.5,1.3892063922651929e-10,1.382885364640884e-07,0.8551007894736841,0.0025840701754384,,2.584070175438424e-06,2.5840701754384243,2.0985754611136224e-11,1.4809641455739005e-11,6.17611315539722e-12,1.5903535640247678e-10,3.172791334237534e-10,-1.7835849419723415e-10,-2.0995032889791683e-10,3.1591834700682625e-11,1.4710481602209966e-10,-8.184176795580347e-12,5.73339802762432e-08,5.326962120071601e-08,4.064359075527183e-09,1.5903535640247678e-10,1.363291483250396e-07,1.9593881390488248e-09,-2.175146006963226e-09,4.1345341460120505e-09,1.3831588076923074e-07,-2.7344305142356623e-11,6.71457210967129,0.0067145721096712
96.6,1.3924738846153848e-10,1.383808016574586e-07,0.8488307142857143,0.0010612857142858,,1.061285714285886e-06,1.061285714285886,2.1312503846155444e-11,1.4812808409186368e-11,6.499695436969072e-12,1.5902170374227103e-10,3.1715499782108837e-10,-1.7790760935954984e-10,-2.0982368180718358e-10,3.1916072447633686e-11,1.4710481602209966e-10,-7.85742756056113e-12,5.7426245469613366e-08,5.325053003854408e-08,4.1757154310692784e-09,1.5902170374227103e-10,1.3630676858247553e-07,2.074033074983072e-09,-2.174240376845123e-09,4.2482734518281954e-09,1.3830438571428574e-07,7.641594317285775e-11,2.7576957952883547,0.0027576957952883
96.7,1.3991084999999995e-10,1.384389364640884e-07,0.8441254000000001,0.0030951999999999,,3.0952e-06,3.0952,2.1975965384616885e-11,1.4815959685438698e-11,7.160005699178191e-12,1.5900802076776394e-10,3.17030933680013e-10,-1.771200836800131e-10,-2.0969706509305646e-10,3.257698141304345e-11,1.4710481602209966e-10,-7.193966022099687e-12,5.7484380276243175e-08,5.323144019054202e-08,4.2529400857011525e-09,1.5900802076776394e-10,1.3628439707800754e-07,2.1545393860809037e-09,-2.1733349577300168e-09,4.32787434381092e-09,1.3829220000000004e-07,1.4673646408837554e-10,8.042716405845463,0.0080427164058454
96.8,1.3872190110497231e-10,1.3848744475138118e-07,0.8409231999999996,0.002682,,2.682000000000036e-06,2.6820000000000355,2.0787016489589224e-11,1.481909527763139e-11,5.967921211957838e-12,1.589943077520865e-10,3.1690694097144046e-10,-1.7818503986646812e-10,-2.095704787871248e-10,3.138543892065662e-11,1.4710481602209966e-10,-8.382914917127344e-12,5.7532888563536e-08,5.3212351662596793e-08,4.320536900939197e-09,1.589943077520865e-10,1.3626203380925556e-07,2.2254109421256707e-09,-2.1724297498656957e-09,4.397840691991366e-09,1.382885364640884e-07,1.9890828729279478e-10,6.969037671387249,0.0069690376713872
