t,ion_current_M2,ion_current_M32,E,current1_mA,coll_current,current1,current1_muA,ion_current_M2_sBG_sub,ion_current_M2_sBG_ALS,ion_current_M2_sBG_ALS_sub,ion_current_M2_ALS,ion_current_M2_UVS,ion_current_M2_UVS_sub,ion_current_M2_UVS_ALS,ion_current_M2_UVS_ALS_sub,ion_current_M2_MF,ion_current_M2_MF_sub,j,current1_mA_geo
5222.5,4.484302459116094e-09,1.9508904303867563e-08,-0.2707203698630141,-0.2221842465753506,,-0.0002221842465753,-222.1842465753507,9.456926314917735e-10,1.8575568514801672e-12,9.438350746402935e-10,3.552068195084331e-09,3.613213019980425e-09,8.710894391356685e-10,-7.566991135861784e-11,9.467593504942863e-10,3.55443717513811e-09,9.29865283977983e-10,-577.3342223610708,-0.5773342223610708
5222.6,4.4918583408840066e-09,1.945756262983429e-08,-0.270393560000018,-0.2288604000000475,,-0.0002288604,-228.86040000004752,9.532485132596874e-10,1.8563650758925627e-12,9.513921481837943e-10,3.5520741859858e-09,3.61320830095244e-09,8.786500399315677e-10,-7.566714626050831e-11,9.543171861920763e-10,3.5546110480663e-09,9.372472928177072e-10,-594.6818602121791,-0.5946818602121792
5222.700000000002,4.4980073585635435e-09,1.947078914917132e-08,-0.2732633287671542,-0.2317634794520093,,-0.000231763479452,-231.7634794520094,9.593975309392216e-10,1.855174939196079e-12,9.575423560000254e-10,3.552080144944984e-09,3.613203582237952e-09,8.848037763255901e-10,-7.566438156305607e-11,9.60468157888646e-10,3.5547799784530634e-09,9.432273801104782e-10,-602.2253613545179,-0.6022253613545179
5222.8,4.498985811602207e-09,1.9484596629834207e-08,-0.2710460136986288,-0.22543317808219,,-0.0002254331780821,-225.43317808219,9.60375983977887e-10,1.8539864310264843e-12,9.585219975468606e-10,3.5520860718771606e-09,3.613198863837149e-09,8.857869477650573e-10,-7.566161726910257e-11,9.6144856503416e-10,3.5547799784530634e-09,9.442058331491434e-10,-585.7764021011602,-0.5857764021011602
5222.9000000000015,4.5009442751381186e-09,1.9500066243093973e-08,-0.2699270131578902,-0.2189294605262844,,-0.0002189294605262,-218.9294605262845,9.623344475137992e-10,1.8527995410196435e-12,9.604816479727796e-10,3.5520919666976123e-09,3.6131941457502195e-09,8.877501293878993e-10,-7.565885338148923e-11,9.634089827693888e-10,3.5547799784530634e-09,9.46164296685056e-10,-568.8768298971455,-0.5688768298971455
5223.0,4.5046525624309246e-09,1.94990791381216e-08,-0.2681207999999906,-0.2125778799999809,,-0.0002125778799999,-212.5778799999809,9.660427348066052e-10,1.851614258811517e-12,9.641911205477935e-10,3.5520978293216182e-09,3.613189427977348e-09,8.914631344535767e-10,-7.565608990305745e-11,9.671192243566343e-10,3.5547799784530634e-09,9.49872583977862e-10,-552.3725778611057,-0.5523725778611057
5223.1,4.4967957552486305e-09,1.947789681767959e-08,-0.2672575466666688,-0.206153453333304,,-0.0002061534533333,-206.153453333304,9.581859276243094e-10,1.8504305740381616e-12,9.56335497050271e-10,3.552103659664459e-09,3.6131847105187235e-09,8.83611044729906e-10,-7.565332683664851e-11,9.592643715665542e-10,3.5547799784530634e-09,9.42015776795566e-10,-535.6790389136278,-0.5356790389136278
5223.200000000002,4.479438296685078e-09,1.9515470723757093e-08,-0.2629526486486274,-0.2003125675675271,,-0.0002003125675675,-200.3125675675272,9.408284690607575e-10,1.8492484763357306e-12,9.389792205844218e-10,3.5521094576414203e-09,3.613179993374529e-09,8.662583033105478e-10,-7.565056418510354e-11,9.419088674956514e-10,3.5546110480663e-09,9.248272486187775e-10,-520.5018006824691,-0.5205018006824691
5223.3,4.460672246961407e-09,1.9586238679557964e-08,-0.2607934324324295,-0.1950154324324156,,-0.0001950154324324,-195.0154324324156,9.220624193370863e-10,1.8480679553404693e-12,9.20214351381746e-10,3.552115223167781e-09,3.613175276544957e-09,8.4749697041645e-10,-7.564780195126371e-11,9.231447723677138e-10,3.5546110480663e-09,9.060611988951064e-10,-506.7374702175097,-0.5067374702175097
5223.4000000000015,4.4414087110496915e-09,1.9565134198894817e-08,-0.2600081999999962,-0.1895565999999696,,-0.0001895565999999,-189.5565999999696,9.027988834253703e-10,1.846889000688724e-12,9.009519944246815e-10,3.552120956158829e-09,3.613170560030189e-09,8.282381510195017e-10,-7.564504013797007e-11,9.038831911574719e-10,3.5546110480663e-09,8.867976629833906e-10,-492.5529777255238,-0.4925529777255238
